timestamp,open,high,low,close,volume
2015-04-08,312.57,312.57,312.57,312.57,0
2015-04-09,310.48,310.48,310.48,310.48,0
2015-04-10,308.7,308.7,308.7,308.7,0
2015-04-13,309.24,309.24,309.24,309.24,0
2015-04-14,311.37,311.37,311.37,311.37,0
2015-04-15,310.71,310.71,310.71,310.71,0
2015-04-16,311.6,311.6,311.6,311.6,0
2015-04-17,308.21,308.21,308.21,308.21,0
2015-04-20,308.62,308.62,308.62,308.62,0
2015-04-21,310.49,310.49,310.49,310.49,0
2015-04-22,309.67,309.67,309.67,309.67,0
2015-04-23,308.74,308.74,308.74,308.74,0
2015-04-24,312.98,312.98,312.98,312.98,0
2015-04-27,314.97,314.97,314.97,314.97,0
2015-04-28,314.21,314.21,314.21,314.21,0
2015-04-29,313.15,313.15,313.15,313.15,0
2015-04-30,313.01,313.01,313.01,313.01,0
2015-05-04,314.93,314.93,314.93,314.93,0
2015-05-05,312.78,312.78,312.78,312.78,0
2015-05-06,311.89,311.89,311.89,311.89,0
2015-05-07,309.56,309.56,309.56,309.56,0
2015-05-08,316.24,316.24,316.24,316.24,0
2015-05-11,316.19,316.19,316.19,316.19,0
2015-05-12,315.55,315.55,315.55,315.55,0
2015-05-13,319.1,319.1,319.1,319.1,0
2015-05-14,322.06,322.06,322.06,322.06,0
2015-05-15,323.03,323.03,323.03,323.03,0
2015-05-18,320.91,320.91,320.91,320.91,0
2015-05-19,320.35,320.35,320.35,320.35,0
2015-05-21,322.31,322.31,322.31,322.31,0
2015-05-22,322.31,322.31,322.31,322.31,0
2015-05-25,318.41,318.41,318.41,318.41,0
2015-05-26,316.39,316.39,316.39,316.39,0
2015-05-27,313.86,313.86,313.86,313.86,0
2015-05-28,317.24,317.24,317.24,317.24,0
2015-05-29,316.63,316.63,316.63,316.63,0
2015-06-01,314.04,314.04,314.04,314.04,0
2015-06-02,315.14,315.14,315.14,315.14,0
2015-06-03,317.31,317.31,317.31,317.31,0
2015-06-04,318.46,318.46,318.46,318.46,0
2015-06-05,309.45,309.45,309.45,309.45,0
2015-06-08,310.51,310.51,310.51,310.51,0
2015-06-09,309.9,309.9,309.9,309.9,0
2015-06-10,314.01,314.01,314.01,314.01,0
2015-06-11,318.71,318.71,318.71,318.71,0
2015-06-12,313.93,313.93,313.93,313.93,0
2015-06-15,309.14,309.14,309.14,309.14,0
2015-06-16,309.61,309.61,309.61,309.61,0
2015-06-17,310.85,310.85,310.85,310.85,0
2015-06-18,311.94,311.94,311.94,311.94,0
2015-06-19,314.79,314.79,314.79,314.79,0
2015-06-22,319.95,319.95,319.95,319.95,0
2015-06-23,320.99,320.99,320.99,320.99,0
2015-06-24,319.29,319.29,319.29,319.29,0
2015-06-25,320.35,320.35,320.35,320.35,0
2015-06-26,319.88,319.88,319.88,319.88,0
2015-06-29,312.02,312.02,312.02,312.02,0
2015-06-30,311.87,311.87,311.87,311.87,0
2015-07-01,311.36,311.36,311.36,311.36,0
2015-07-02,309.75,309.75,309.75,309.75,0
2015-07-03,307.66,307.66,307.66,307.66,0
2015-07-06,301.23,301.23,301.23,301.23,0
2015-07-07,298.2,298.2,298.2,298.2,0
2015-07-08,298.56,298.56,298.56,298.56,0
2015-07-09,304.0,304.0,304.0,304.0,0
2015-07-10,315.08,315.08,315.08,315.08,0
2015-07-13,315.66,315.66,315.66,315.66,0
2015-07-14,316.15,316.15,316.15,316.15,0
2015-07-15,317.48,317.48,317.48,317.48,0
2015-07-16,319.4,319.4,319.4,319.4,0
2015-07-17,318.37,318.37,318.37,318.37,0
2015-07-20,319.35,319.35,319.35,319.35,0
2015-07-21,317.84,317.84,317.84,317.84,0
2015-07-22,314.89,314.89,314.89,314.89,0
2015-07-23,316.23,316.23,316.23,316.23,0
2015-07-24,314.76,314.76,314.76,314.76,0
2015-07-27,310.86,310.86,310.86,310.86,0
2015-07-28,310.94,310.94,310.94,310.94,0
2015-07-29,311.23,311.23,311.23,311.23,0
2015-07-30,311.2,311.2,311.2,311.2,0
2015-07-31,314.66,314.66,314.66,314.66,0
2015-08-03,315.45,315.45,315.45,315.45,0
2015-08-04,314.68,314.68,314.68,314.68,0
2015-08-05,316.2,316.2,316.2,316.2,0
2015-08-06,316.82,316.82,316.82,316.82,0
2015-08-07,313.83,313.83,313.83,313.83,0
2015-08-10,315.31,315.31,315.31,315.31,0
2015-08-11,315.64,315.64,315.64,315.64,0
2015-08-13,311.25,311.25,311.25,311.25,0
2015-08-14,310.78,310.78,310.78,310.78,0
2015-08-17,308.07,308.07,308.07,308.07,0
2015-08-18,309.36,309.36,309.36,309.36,0
2015-08-19,306.19,306.19,306.19,306.19,0
2015-08-20,303.31,303.31,303.31,303.31,0
2015-08-21,299.09,299.09,299.09,299.09,0
2015-08-24,285.12,285.12,285.12,285.12,0
2015-08-25,295.35,295.35,295.35,295.35,0
2015-08-26,292.74,292.74,292.74,292.74,0
2015-08-27,292.94,292.94,292.94,292.94,0
2015-08-28,291.82,291.82,291.82,291.82,0
2015-08-31,292.62,292.62,292.62,292.62,0
2015-09-01,285.33,285.33,285.33,285.33,0
2015-09-02,287.39,287.39,287.39,287.39,0
2015-09-03,289.66,289.66,289.66,289.66,0
2015-09-04,283.63,283.63,283.63,283.63,0
2015-09-07,284.57,284.57,284.57,284.57,0
2015-09-08,290.84,290.84,290.84,290.84,0
2015-09-09,295.0,295.0,295.0,295.0,0
2015-09-10,289.85,289.85,289.85,289.85,0
2015-09-11,288.94,288.94,288.94,288.94,0
2015-09-14,287.69,287.69,287.69,287.69,0
2015-09-15,287.63,287.63,287.63,287.63,0
2015-09-16,291.59,291.59,291.59,291.59,0
2015-09-17,293.71,293.71,293.71,293.71,0
